ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	ai.cyr3con.gargoyl3.gatling.simulations.VulnerabilitiesSimulation	vulnerabilitiessimulation	1646738112385	 	3.3.1
REQUEST	9		vr historical search (ES)	1646738114094	1646738115725	OK	 
USER	get rankings historical search (from ES)	9	END	1646738114002	1646738115858
REQUEST	97		vulnerability stats	1646738114111	1646738115858	OK	 
REQUEST	101		vulnerability stats	1646738114112	1646738115874	OK	 
USER	get vulnerabilities statistics	97	END	1646738114099	1646738115874
USER	get vulnerabilities statistics	101	END	1646738114107	1646738115876
REQUEST	93		vulnerability stats	1646738114110	1646738115876	OK	 
USER	get vulnerabilities statistics	93	END	1646738114099	1646738115889
REQUEST	17		info details	1646738114139	1646738115889	OK	 
USER	get info details	17	END	1646738114023	1646738115911
REQUEST	105		vulnerability essentials	1646738114110	1646738115912	OK	 
USER	get vulnerabilities essentials (authorized)	105	END	1646738114109	1646738115914
REQUEST	40		CVEs by CyRating	1646738114130	1646738115850	OK	 
REQUEST	129		info (ES)	1646738114228	1646738115922	OK	 
USER	get random vulnerabilities info (from ES)	129	END	1646738114120	1646738115923
REQUEST	43		CVEs by CyRating	1646738114131	1646738115857	OK	 
USER	get CVEs by CyRating	43	END	1646738114032	1646738115927
REQUEST	109		vulnerability essentials	1646738114118	1646738115925	OK	 
USER	get CVEs by CyRating	40	END	1646738114031	1646738115929
USER	get vulnerabilities essentials (authorized)	109	END	1646738114113	1646738115930
REQUEST	42		CVEs by CyRating	1646738114131	1646738115845	OK	 
USER	get CVEs by CyRating	42	END	1646738114032	1646738115933
REQUEST	25		info (Mongo)	1646738114106	1646738115931	OK	 
USER	get vulnerabilities info (authorized, from Mongo)	25	END	1646738114029	1646738115945
REQUEST	65		rankings - CVE timeline	1646738114154	1646738115946	OK	 
USER	get rankings CVE timeline	65	END	1646738114036	1646738115948
REQUEST	39		CVEs by CyRating	1646738114130	1646738115932	OK	 
REQUEST	29		cve metadata	1646738114134	1646738115959	OK	 
USER	get CVE metadata	29	END	1646738114029	1646738115960
USER	get CVEs by CyRating	39	END	1646738114031	1646738115970
REQUEST	45		CVEs by CyRating	1646738114132	1646738115971	OK	 
USER	get CVEs by CyRating	45	END	1646738114032	1646738116018
REQUEST	88		info (ES)	1646738114100	1646738115935	OK	 
USER	get vulnerabilities info (authorized, from ES)	88	END	1646738114097	1646738116061
REQUEST	128		info (ES)	1646738114227	1646738116067	OK	 
USER	get random vulnerabilities info (from ES)	128	END	1646738114120	1646738116069
REQUEST	115		rankings - recent	1646738114117	1646738115976	OK	 
USER	get rankings recent	115	END	1646738114114	1646738116086
REQUEST	89		info (ES)	1646738114100	1646738116019	OK	 
USER	get vulnerabilities info (authorized, from ES)	89	END	1646738114098	1646738116099
REQUEST	41		CVEs by CyRating	1646738114130	1646738116100	OK	 
USER	get CVEs by CyRating	41	END	1646738114032	1646738116124
REQUEST	86		rankings - low base score	1646738114098	1646738115958	OK	 
USER	get rankings low base score	86	END	1646738114097	1646738116129
REQUEST	37		CVEs by CyRating	1646738114087	1646738116130	OK	 
USER	get CVEs by CyRating	37	END	1646738114031	1646738116186
REQUEST	119		rankings - recent	1646738114156	1646738116087	OK	 
REQUEST	125		info (ES)	1646738114268	1646738116188	OK	 
USER	get random vulnerabilities info (from ES)	125	END	1646738114120	1646738116201
USER	get rankings recent	119	END	1646738114115	1646738116213
REQUEST	123		info (ES)	1646738114219	1646738116214	OK	 
USER	get random vulnerabilities info (from ES)	123	END	1646738114117	1646738116215
REQUEST	82		rankings - low base score	1646738114097	1646738116131	OK	 
USER	get rankings low base score	82	END	1646738114095	1646738116236
REQUEST	80		rankings - low base score	1646738114096	1646738116073	OK	 
USER	get rankings low base score	80	END	1646738114093	1646738116238
REQUEST	121		rankings - recent	1646738114157	1646738116206	OK	 
USER	get rankings recent	121	END	1646738114116	1646738116353
REQUEST	78		rankings - low base score	1646738114095	1646738116237	OK	 
USER	get rankings low base score	78	END	1646738114067	1646738116356
REQUEST	84		rankings - low base score	1646738114097	1646738116251	OK	 
USER	get rankings low base score	84	END	1646738114096	1646738116367
REQUEST	120		rankings - recent	1646738114156	1646738116368	OK	 
USER	get rankings recent	120	END	1646738114116	1646738116520
REQUEST	87		rankings - low base score	1646738114098	1646738116216	OK	 
USER	get rankings low base score	87	END	1646738114097	1646738116592
REQUEST	85		rankings - low base score	1646738114098	1646738116365	OK	 
USER	get rankings low base score	85	END	1646738114097	1646738116645
REQUEST	116		rankings - recent	1646738114155	1646738116542	OK	 
USER	get rankings recent	116	END	1646738114115	1646738116651
REQUEST	132		info (ES)	1646738114229	1646738116656	OK	 
USER	get random vulnerabilities info (from ES)	132	END	1646738114121	1646738116671
REQUEST	113		rankings - recent	1646738114116	1646738116662	OK	 
USER	get rankings recent	113	END	1646738114114	1646738116732
REQUEST	83		rankings - low base score	1646738114097	1646738116593	OK	 
USER	get rankings low base score	83	END	1646738114096	1646738116753
REQUEST	67		info (Mongo)	1646738114216	1646738117018	OK	 
USER	get random vulnerabilities info (from Mongo)	67	END	1646738114036	1646738117020
REQUEST	75		info (Mongo)	1646738114326	1646738117073	OK	 
USER	get random vulnerabilities info (from Mongo)	75	END	1646738114053	1646738117074
REQUEST	72		info (Mongo)	1646738114231	1646738117101	OK	 
